"NOME DO BEM","VALOR","PRAZO","1ª PARCELA","PLANO","TIPO DE VENDA",""
"IM0413 - IMÓVEL FAIXA I (50%) R$ 220.000,00","R$ 220.000,00","222","R$ 879,87","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0136 - IMÓVEL FAIXA I (70%) R$ 220.000,00","R$ 220.000,00","222","R$ 1.078,09","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0137 - IMÓVEL FAIXA I (70%) R$ 230.000,00","R$ 230.000,00","222","R$ 1.127,09","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0230 - IMOVEL FAIXA I - R$ 230.000,00","R$ 230.000,00","222","R$ 1.438,05","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0414 - IMÓVEL FAIXA I (50%) R$ 230.000,00","R$ 230.000,00","222","R$ 919,86","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0138 - IMÓVEL FAIXA I (70%) R$ 240.000,00","R$ 240.000,00","222","R$ 1.176,10","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0231 - IMOVEL FAIXA I - R$ 240.000,00","R$ 240.000,00","222","R$ 1.500,58","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0415 - IMÓVEL FAIXA I (50%) R$ 240.000,00","R$ 240.000,00","222","R$ 959,86","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0305 - IMÓVEL - R$ 260.000,00","R$ 260.000,00","222","R$ 1.625,62","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0349 - IMÓVEL (50%) - R$ 260.000,00","R$ 260.000,00","222","R$ 1.039,84","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0323 - IMÓVEL (70%) - R$ 260.000,00","R$ 260.000,00","222","R$ 1.274,10","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0306 - IMÓVEL - R$ 280.000,00","R$ 280.000,00","222","R$ 1.750,67","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0350 - IMÓVEL (50%) - R$ 280.000,00","R$ 280.000,00","222","R$ 1.119,83","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0324 - IMÓVEL (70%) - R$ 280.000,00","R$ 280.000,00","222","R$ 1.372,11","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0325 - IMÓVEL (70%) - R$ 300.000,00","R$ 300.000,00","222","R$ 1.470,12","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0307 - IMÓVEL - R$ 300.000,00","R$ 300.000,00","222","R$ 1.875,72","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0344 - IMÓVEL (50%) - R$ 300.000,00","R$ 300.000,00","222","R$ 1.199,82","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0308 - IMÓVEL - R$ 320.000,00","R$ 320.000,00","222","R$ 2.000,77","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0371 - IMÓVEL (70%) - R$ 320.000,00","R$ 320.000,00","222","R$ 1.568,13","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0361 - IMÓVEL (50%) - R$ 320.000,00","R$ 320.000,00","222","R$ 1.279,81","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0372 - IMÓVEL (70%) - R$ 340.000,00","R$ 340.000,00","222","R$ 1.666,14","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0362 - IMÓVEL (50%) - R$ 340.000,00","R$ 340.000,00","222","R$ 1.359,80","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0309 - IMÓVEL - R$ 340.000,00","R$ 340.000,00","222","R$ 2.125,82","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0373 - IMÓVEL (70%) - R$ 360.000,00","R$ 360.000,00","222","R$ 1.764,14","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0363 - IMÓVEL (50%) - R$ 360.000,00","R$ 360.000,00","222","R$ 1.439,78","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
