"NOME DO BEM","VALOR","PRAZO","1ª PARCELA","PLANO","TIPO DE VENDA",""
"CR5056 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 110.000,00","R$ 110.000,00","116","R$ 1.181,37","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR5502 - AUTOMÓVEL MÉDIO E UTILITÁRIO (50%) - R$ 110.000,00","R$ 110.000,00","116","R$ 707,16","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR5503 - AUTOMÓVEL MÉDIO E UTILITÁRIO (50%) - R$ 120.000,00","R$ 120.000,00","116","R$ 771,45","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR5411 - AUTOMÓVEL MÉDIO E UTILITÁRIO (70%) - R$ 120.000,00","R$ 120.000,00","106","R$ 1.053,45","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR5059 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 120.000,00","R$ 120.000,00","116","R$ 1.288,77","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR5504 - AUTOMÓVEL MÉDIO E UTILITÁRIO (50%) - R$ 130.000,00","R$ 130.000,00","116","R$ 835,74","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR5412 - AUTOMÓVEL MÉDIO E UTILITÁRIO (70%) - R$ 130.000,00","R$ 130.000,00","106","R$ 1.141,23","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR5060 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 130.000,00","R$ 130.000,00","116","R$ 1.396,17","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR5413 - AUTOMÓVEL MÉDIO E UTILITÁRIO (70%) - R$ 140.000,00","R$ 140.000,00","106","R$ 1.229,02","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR5061 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 140.000,00","R$ 140.000,00","116","R$ 1.503,57","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR5505 - AUTOMÓVEL MÉDIO E UTILITÁRIO (50%) - R$ 140.000,00","R$ 140.000,00","116","R$ 900,03","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR5415 - AUTOMÓVEL MÉDIO E UTILITÁRIO (70%) - R$ 150.000,00","R$ 150.000,00","106","R$ 1.316,81","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR5506 - AUTOMÓVEL MÉDIO E UTILITÁRIO (50%) - R$ 150.000,00","R$ 150.000,00","116","R$ 964,31","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR5167 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 150.000,00","R$ 150.000,00","116","R$ 1.610,96","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR5431 - AUTOMÓVEL MÉDIO E UTILITÁRIO (70%) - R$ 160.000,00","R$ 160.000,00","106","R$ 1.404,60","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR5176 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 160.000,00","R$ 160.000,00","116","R$ 1.718,36","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR5507 - AUTOMÓVEL MÉDIO E UTILITÁRIO (50%) - R$ 160.000,00","R$ 160.000,00","116","R$ 1.028,60","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR5508 - AUTOMÓVEL MÉDIO E UTILITÁRIO (50%) - R$ 170.000,00","R$ 170.000,00","116","R$ 1.092,89","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR5432 - AUTOMÓVEL MÉDIO E UTILITÁRIO (70%) - R$ 170.000,00","R$ 170.000,00","106","R$ 1.492,38","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR5177 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 170.000,00","R$ 170.000,00","116","R$ 1.825,76","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR5433 - AUTOMÓVEL MÉDIO E UTILITÁRIO (70%) - R$ 180.000,00","R$ 180.000,00","106","R$ 1.580,17","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR5509 - AUTOMÓVEL MÉDIO E UTILITÁRIO (50%) - R$ 180.000,00","R$ 180.000,00","116","R$ 1.157,18","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR5178 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 180.000,00","R$ 180.000,00","116","R$ 1.933,16","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR5179 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 190.000,00","R$ 190.000,00","116","R$ 2.040,55","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR5434 - AUTOMÓVEL MÉDIO E UTILITÁRIO (70%) - R$ 190.000,00","R$ 190.000,00","106","R$ 1.667,96","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR5510 - AUTOMÓVEL MÉDIO E UTILITÁRIO (50%) - R$ 190.000,00","R$ 190.000,00","116","R$ 1.221,46","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR5511 - AUTOMÓVEL MÉDIO E UTILITÁRIO (50%) - R$ 200.000,00","R$ 200.000,00","116","R$ 1.285,75","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR5435 - AUTOMÓVEL MÉDIO E UTILITÁRIO (70%) - R$ 200.000,00","R$ 200.000,00","106","R$ 1.755,74","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR5186 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 200.000,00","R$ 200.000,00","116","R$ 2.147,95","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR5191 - AUTOMÓVEL MÉDIO E UTILITÁRIO - R$ 220.000,00","R$ 220.000,00","116","R$ 2.362,75","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR5441 - AUTOMÓVEL MÉDIO E UTILITÁRIO (70%) - R$ 220.000,00","R$ 220.000,00","106","R$ 1.931,32","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR5512 - AUTOMÓVEL MÉDIO E UTILITÁRIO (50%) - R$ 220.000,00","R$ 220.000,00","116","R$ 1.414,33","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR6281 - AUTOMOVEL GRANDE PORTE (70%)","R$ 240.000,00","106","R$ 2.114,26","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR6183 - AUTOMÓVEL GRANDE PORTE - R$ 240.000,00","R$ 240.000,00","126","R$ 4.790,40","3000 - GRUPO 3000 PARTICIPANTES","61 - PARCELA GRADUAL",""
"CR6311 - AUTOMÓVEL GRANDE PORTE 50% - R$ 240.000,00","R$ 240.000,00","126","R$ 1.457,04","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR6281 - AUTOMOVEL GRANDE PORTE (70%)","R$ 240.000,00","106","R$ 4.491,70","21 - PLANO EXCLUSIVO 70%","82 - PARCELA GRADUAL",""
"CR6311 - AUTOMÓVEL GRANDE PORTE 50% - R$ 240.000,00","R$ 240.000,00","126","R$ 3.838,08","40 - PLANO EXCLUSIVO 50%","61 - PARCELA GRADUAL",""
"CR6183 - AUTOMÓVEL GRANDE PORTE - R$ 240.000,00","R$ 240.000,00","126","R$ 2.409,60","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR6237 - AUTOMOVEL GRANDE PORTE (70%)","R$ 260.000,00","106","R$ 2.290,44","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR6043 - AUTOMÓVEL GRANDE PORTE - R$ 260.000,00","R$ 260.000,00","126","R$ 5.189,60","3000 - GRUPO 3000 PARTICIPANTES","61 - PARCELA GRADUAL",""
"CR6237 - AUTOMOVEL GRANDE PORTE (70%)","R$ 260.000,00","106","R$ 4.866,00","21 - PLANO EXCLUSIVO 70%","82 - PARCELA GRADUAL",""
