"NOME DO BEM","VALOR","PRAZO","1ª PARCELA","PLANO","TIPO DE VENDA",""
"CR6178 - AUTOMÓVEL GRANDE PORTE - R$ 380.000,00","R$ 380.000,00","126","R$ 7.584,80","3000 - GRUPO 3000 PARTICIPANTES","61 - PARCELA GRADUAL",""
"CR6178 - AUTOMÓVEL GRANDE PORTE - R$ 380.000,00","R$ 380.000,00","126","R$ 3.815,20","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR6260 - AUTOMOVEL GRANDE PORTE (70%)","R$ 380.000,00","106","R$ 3.347,57","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR6318 - AUTOMÓVEL GRANDE PORTE 50% - R$ 380.000,00","R$ 380.000,00","126","R$ 6.076,96","40 - PLANO EXCLUSIVO 50%","61 - PARCELA GRADUAL",""
"CR6260 - AUTOMOVEL GRANDE PORTE (70%)","R$ 380.000,00","106","R$ 7.111,85","21 - PLANO EXCLUSIVO 70%","82 - PARCELA GRADUAL",""
"CR6318 - AUTOMÓVEL GRANDE PORTE 50% - R$ 380.000,00","R$ 380.000,00","126","R$ 2.306,98","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR6319 - AUTOMÓVEL GRANDE PORTE 50% - R$ 400.000,00","R$ 400.000,00","126","R$ 2.428,40","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR6283 - AUTOMOVEL GRANDE PORTE (70%)","R$ 400.000,00","106","R$ 7.486,16","21 - PLANO EXCLUSIVO 70%","82 - PARCELA GRADUAL",""
"CR6185 - AUTOMÓVEL GRANDE PORTE - R$ 400.000,00","R$ 400.000,00","126","R$ 4.016,00","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR6319 - AUTOMÓVEL GRANDE PORTE 50% - R$ 400.000,00","R$ 400.000,00","126","R$ 6.396,80","40 - PLANO EXCLUSIVO 50%","61 - PARCELA GRADUAL",""
"CR6185 - AUTOMÓVEL GRANDE PORTE - R$ 400.000,00","R$ 400.000,00","126","R$ 7.984,00","3000 - GRUPO 3000 PARTICIPANTES","61 - PARCELA GRADUAL",""
"CR6283 - AUTOMOVEL GRANDE PORTE (70%)","R$ 400.000,00","106","R$ 3.523,76","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR6284 - AUTOMOVEL GRANDE PORTE (70%)","R$ 420.000,00","106","R$ 7.860,47","21 - PLANO EXCLUSIVO 70%","82 - PARCELA GRADUAL",""
"CR6186 - AUTOMÓVEL GRANDE PORTE - R$ 420.000,00","R$ 420.000,00","126","R$ 4.216,80","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR6320 - AUTOMÓVEL GRANDE PORTE 50% - R$ 420.000,00","R$ 420.000,00","126","R$ 6.716,64","40 - PLANO EXCLUSIVO 50%","61 - PARCELA GRADUAL",""
"CR6284 - AUTOMOVEL GRANDE PORTE (70%)","R$ 420.000,00","106","R$ 3.699,95","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR6186 - AUTOMÓVEL GRANDE PORTE - R$ 420.000,00","R$ 420.000,00","126","R$ 8.383,20","3000 - GRUPO 3000 PARTICIPANTES","61 - PARCELA GRADUAL",""
